Date,T,P,PET
1979-01-01,8.45849215,0,3.115
1979-01-02,10.07977075,0,3.687
1979-01-03,12.12211365,0,3.821
1979-01-04,12.8457118,0.055,3.902
1979-01-05,12.98532185,0.015,3.695
1979-01-06,12.63347945,0.001,3.436
1979-01-07,12.428827900000002,0.058,3.43
1979-01-08,12.359451100000001,0,3.491
1979-01-09,11.992447550000001,0,3.667
1979-01-10,11.3063266,0,3.451
1979-01-11,10.15024995,0,3.025
1979-01-12,7.802278,0,2.363
1979-01-13,9.193519550000001,0,3.306
1979-01-14,10.4727979,0,3.468
1979-01-15,10.68818345,0,3.413
1979-01-16,10.9099097,0,3.47
1979-01-17,12.13773535,0,3.671
1979-01-18,13.103866449999998,0.024,3.307
1979-01-19,11.95352505,0.814,3.042
1979-01-20,11.866355050000001,0.003,3.539
1979-01-21,12.13693295,0.037,3.233
1979-01-22,10.92372405,0,3.014
1979-01-23,10.01316365,0,2.888
1979-01-24,10.20107395,0,3.251
1979-01-25,11.40178395,0,3.2
1979-01-26,11.14040775,0,3.042
1979-01-27,11.12909095,0,3.26
1979-01-28,11.903882000000001,0,3.508
1979-01-29,12.1548688,0,3.257
1979-01-30,11.35496575,0.134,2.532
1979-01-31,9.904233,0,2.605
1979-02-01,9.8334395,0,2.866
1979-02-02,10.2747168,0,2.638
1979-02-03,9.5964831,0,2.582
1979-02-04,8.10908095,0,2.684
1979-02-05,9.266541499999999,0,2.734
1979-02-06,7.781259649999999,0,2.422
1979-02-07,8.151356,0.048,2.246
1979-02-08,6.8813599,1.774,1.893
1979-02-09,6.0200587,0,2.363
1979-02-10,8.24542395,0,2.972
1979-02-11,8.70290345,0,2.829
1979-02-12,8.333184249999999,0,2.705
1979-02-13,7.5481917,0,2.465
1979-02-14,6.07919285,0.005,1.81
1979-02-15,6.71411775,0.017,2.402
1979-02-16,7.957674,0,2.685
1979-02-17,8.4523114,0,2.486
1979-02-18,8.97875555,0,2.608
1979-02-19,7.7700537999999995,0,2.224
1979-02-20,10.313026,0,3.121
1979-02-21,13.6746949,0,3.599
1979-02-22,13.08592625,0,3.224
1979-02-23,11.304379749999999,0,2.415
1979-02-24,9.667145399999999,0,2.2
1979-02-25,9.1100344,0,2.816
1979-02-26,9.4445929,0.015,2.693
1979-02-27,8.36744405,0,2.595
1979-02-28,9.95691635,0,2.853
1979-03-01,10.7478099,0,2.506
1979-03-02,8.02147145,0,2.016
1979-03-03,8.39948135,0,2.521
1979-03-04,7.44299125,0,2.036
1979-03-05,8.532714949999999,0,2.575
1979-03-06,7.3065271,0,2.184
1979-03-07,8.42454205,0,2.583
1979-03-08,6.4544006,0,2.026
1979-03-09,7.7699929,0,2.402
1979-03-10,7.99687925,0,2.2
1979-03-11,7.4543428,0,1.981
1979-03-12,6.203566400000001,1.873,1.729
1979-03-13,7.316545850000001,0,2.532
1979-03-14,9.0745323,0,2.492
1979-03-15,9.358686,0,2.426
1979-03-16,10.02372295,0,2.529
1979-03-17,10.33628495,0,2.431
1979-03-18,10.29877735,0,2.382
1979-03-19,10.871160549999999,0,2.401
1979-03-20,11.625477450000002,0,2.664
1979-03-21,9.8324718,0,2.16
1979-03-22,7.1592807,0,1.874
1979-03-23,9.4992751,0,2.267
1979-03-24,9.49103125,0,2.196
1979-03-25,7.9869009,0,1.892
1979-03-26,6.27292365,0,1.683
1979-03-27,6.01132985,0,1.854
1979-03-28,7.47567905,0,2.145
1979-03-29,8.849893699999999,0,2.081
1979-03-30,9.408063349999999,0,1.971
1979-03-31,10.26819555,0.003,2.409
1979-04-01,7.3802024500000005,0,1.93
1979-04-02,5.1834773,0,1.345
1979-04-03,1.1221029649999998,0,0.862
1979-04-04,-3.3537220949999997,0.561,0.83
1979-04-05,-0.22964680000000026,0,1.595
1979-04-06,4.4019291,0,1.931
1979-04-07,6.79212815,0,1.928
1979-04-08,6.24616035,0,1.541
1979-04-09,6.21955965,0,1.814
1979-04-10,7.77919815,0,1.898
1979-04-11,7.64080115,0,1.684
1979-04-12,5.0778533,0,1.339
1979-04-13,5.43423415,0,1.459
1979-04-14,5.78731505,0,1.749
1979-04-15,8.010292250000001,0,2.01
1979-04-16,7.74725205,0,1.787
1979-04-17,8.189547950000001,0,1.699
1979-04-18,7.13645105,0,1.53
1979-04-19,7.63717605,0,1.732
1979-04-20,8.11013615,0,1.785
1979-04-21,7.7450266,0,1.646
1979-04-22,8.0030565,0.007,1.624
1979-04-23,7.7397804,0.038,1.662
1979-04-24,7.62852095,0.022,1.422
1979-04-25,6.91227885,0.071,1.321
1979-04-26,6.75823315,0,1.618
1979-04-27,4.8204309,2.134,1.076
1979-04-28,-0.3750716999999999,4.755,0.797
1979-04-29,-1.2586817000000001,0,1.128
1979-04-30,1.5362513,0,1.228
1979-05-01,3.2406056149999998,0,0.999
1979-05-02,0.5354925500000001,17.012,0.661
1979-05-03,-2.07862759,10.033,0.773
1979-05-04,0.2346645999999999,0,1.06
1979-05-05,1.1352848,0,0.891
1979-05-06,0.8103345000000002,0,0.958
1979-05-07,-0.04179315000000017,0,0.939
1979-05-08,-0.50063225,0,0.809
1979-05-09,1.861586,0,0.987
1979-05-10,1.7243134,0.689,0.755
1979-05-11,-0.27224125,0,0.864
1979-05-12,0.11042614999999989,0,1.013
1979-05-13,-1.4016341000000003,0,0.786
1979-05-14,1.9364772,0,1.14
1979-05-15,1.71571182,2.845,0.749
1979-05-16,1.618286405,2.46,0.712
1979-05-17,-0.558704,7.626,0.563
1979-05-18,-0.5245796,0.207,0.713
1979-05-19,3.32699115,0,1.036
1979-05-20,3.76253365,0,0.958
1979-05-21,1.0473848000000001,0,0.745
1979-05-22,1.99778385,0,1.019
1979-05-23,3.760815215,0,0.894
1979-05-24,4.96241855,0,0.979
1979-05-25,0.3218976499999999,0.008,0.77
1979-05-26,1.1692020500000002,0,1.034
1979-05-27,2.18662752,2.553,0.729
1979-05-28,-1.0962573,0.22,0.646
1979-05-29,-3.574533175,0,0.659
1979-05-30,1.9436588499999998,0,1.03
1979-05-31,4.6248228099999995,0,1.06
1979-06-01,3.87651148,0,0.932
1979-06-02,0.8775329000000003,0,0.768
1979-06-03,-2.179892345,0.004,0.558
1979-06-04,-4.359576975,0,0.585
1979-06-05,-3.435807905,0,0.59
1979-06-06,-5.883508300000001,0,0.538
1979-06-07,-2.5761794499999997,0,0.672
1979-06-08,0.29809405,0,0.813
1979-06-09,-0.32994539999999994,0,0.712
1979-06-10,-3.860252672,0,0.628
1979-06-11,-4.55530944,0,0.611
1979-06-12,-1.30818995,0,0.714
1979-06-13,-0.9459404999999999,0,0.719
1979-06-14,0.6170808499999998,0,0.777
1979-06-15,-0.16215009999999985,0,0.721
1979-06-16,1.9781499,0,0.85
1979-06-17,2.78114757,0,0.819
1979-06-18,2.03510725,0,0.793
1979-06-19,0.74393665,0,0.794
1979-06-20,0.80940495,0,0.808
1979-06-21,1.8673951,0,0.855
1979-06-22,-0.4757859499999999,0,0.677
1979-06-23,-4.31956995,2.046,0.502
1979-06-24,-1.6893078,0,0.724
1979-06-25,1.6260282,0,0.851
1979-06-26,2.01873785,0,0.869
1979-06-27,2.93047845,0,0.956
1979-06-28,2.02428775,0,0.883
1979-06-29,0.73495125,0,0.822
1979-06-30,-2.763813925,0.136,0.604
1979-07-01,-1.6930340000000001,0.188,0.727
1979-07-02,-0.8134153000000002,0,0.824
1979-07-03,-0.14278514999999992,0,0.742
1979-07-04,0.3544662999999999,0,0.885
1979-07-05,2.2824789,0,0.896
1979-07-06,1.2910103,0,0.854
1979-07-07,0.5586809999999998,0,0.829
1979-07-08,2.7713411,0,1.007
1979-07-09,4.827852699999999,0,1.101
1979-07-10,4.135676888000001,0,1.042
1979-07-11,4.175396605,0,1.062
1979-07-12,4.282693507499999,0,1.071
1979-07-13,-0.5800141000000001,0,0.841
1979-07-14,-1.8223668499999999,0,0.798
1979-07-15,0.49198315000000026,0,0.964
1979-07-16,1.0036753999999999,0,0.957
1979-07-17,-1.4821628999999998,0.105,0.759
1979-07-18,-5.27338075,0.66,0.587
1979-07-19,0.8038565499999999,0,1.114
1979-07-20,3.1081284,0,1.109
1979-07-21,0.35980195000000004,0,0.97
1979-07-22,-0.6344557499999999,0,0.887
1979-07-23,-2.7795941500000003,0.797,0.666
1979-07-24,-4.48349231,12.575,0.673
1979-07-25,-3.77462577,0.096,0.763
1979-07-26,-3.7295220999999996,23.96,0.538
1979-07-27,-2.170984755,3.386,0.632
1979-07-28,-0.9712545499999999,1.319,0.694
1979-07-29,0.36984839999999997,0.207,0.904
1979-07-30,-0.1412502499999999,6.464,0.758
1979-07-31,-4.1264976,25.321,0.628
1979-08-01,-6.032248600000001,1.305,0.483
1979-08-02,-6.1760283,0.979,0.684
1979-08-03,-6.09264455,0.173,0.551
1979-08-04,-3.6745118750000003,6.047,0.72
1979-08-05,-1.90893125,0,0.91
1979-08-06,-1.2919605,0,0.853
1979-08-07,0.25225205000000006,0,1.144
1979-08-08,2.2520464500000004,0,1.18
1979-08-09,4.48873858,0,1.387
1979-08-10,3.6095767500000004,0,1.357
1979-08-11,3.42726,0,1.32
1979-08-12,2.1832266,0,1.294
1979-08-13,0.5935327499999998,0,1.163
1979-08-14,0.5480319500000002,0,1.1
1979-08-15,-0.7914724499999999,0,0.97
1979-08-16,-3.70763905,0,0.98
1979-08-17,-0.5129807499999997,0,1.39
1979-08-18,4.39340436,0,1.448
1979-08-19,4.713695964999999,0,1.439
1979-08-20,3.15542885,0,1.375
1979-08-21,0.8098892,0,1.056
1979-08-22,2.7937122,0,1.342
1979-08-23,3.139757745,0,1.29
1979-08-24,0.36433040000000005,21.155,0.877
1979-08-25,-3.47146478,18.811,0.803
1979-08-26,-2.4934498499999997,1.028,0.903
1979-08-27,-3.7552706999999996,8.678,0.719
1979-08-28,-3.906146575,0.088,0.884
