"gauge_id","5405001","catchment identifier (corresponds to the stream gauge code provided by DGA)"
"gauge_name","Rio Los Riecillos Antes Junta Rio Colorado","gauge name (based on DGA records)"
"gauge_lat","-32.75","gauge latitude based on DGA records (degrees)"
"gauge_lon","-70.3167","gauge longitude based on DGA records (degrees)"
"record_period_start","1929-07-01","start date of streamflow records"
"record_period_end","1942-04-30","end date of streamflow records"
"n_obs","4676","number of days with valid streamflow records"
"outlet_camels_lat","-32.75792","CAMELS-CL outlet latitude (degrees). DGA stream gauge coordinates were corrected to get catchment outlets on the streams defined by topography."
"outlet_camels_lon","-70.29847","CAMELS-CL outlet longitude (degrees). DGA stream gauge coordinates were corrected to get catchment outlets on the streams defined by topography."
"outlet_camels_elev","1922","CAMELS-CL outlet elevation (m a.s.l.) obtained from the 30 m ASTER GDEM elevation data"
"area_km2","233.3785","catchment area (km2)"
"mean_elev","3486.818","catchment mean elevation (m a.s.l.)"
"med_elev","3577","catchment median elevation (m a.s.l.)"
"max_elev","4844","catchment maximum elevation (m a.s.l.)"
"min_elev","1920","catchment minimum elevation (m a.s.l.)"
"mean_slope_perc","26.91045","catchment mean slope (%)"
"geol_class_1st","Pyroclastics","most common geologic class in the catchment"
"geol_class_1st_frac","0.403","fraction of the catchment area associated with its most common geologic class"
"geol_class_2nd","Acid volcanic rocks","second most common geologic class in the catchment"
"geol_class_2nd_frac","0.312","fraction of the catchment area associated with its second most common geologic class"
"lc_crop","0.01542859","percentage of the catchment covered by croplands; level 1. Includes five types of level 2 classes: rice fields; greenhouse farming; other croplands; orchards; and bare croplands"
"lc_nf","0.1168715","percentage of the catchment covered by forest (level 1) classified as natural broadleaf (level 2) or natural conifer (level 2)."
"lc_fp","0","percentage of the catchment covered by forest (level 1) classified as broadleaf plantations (level 2) or conifer plantations (level 2)."
"lc_grass","4.833391","percentage of the catchment covered by grasslands; level 1. Includes three types of level 2 classes: pastures; other grasslands; and withered grasslands."
"lc_shrub","16.22894","percentage of the catchment covered by shrublands; level 1. Includes five types of level 2 classes: shrublands; shrubs and sparse trees mosaic; succulents; shrub plantations; and withered shrublands."
"lc_wet","2.135316","percentage of the catchment covered by wetlands and water bodies (level 1). Includes six types of level 2 classes: marshlands; mudflats; other wetlands; lakes; reservoirs/ponds; rivers and ocean."
"lc_imp","0.05207148","percentage of the catchment covered by impervious surfaces (level 1). Urbanised areas are usually contained in this class."
"lc_barren","76.58172","percentage of the catchment covered by barren lands (level 1). Includes three types of level 2 classes: dry salt flats;  sandy areas and bare exposed rocks"
"lc_snow","0.02738574","percentage of the catchment covered by snow and ice; level 1. Includes two types of level 2 classes: snow and ice."
"lc_glacier","0.1096207","percentage of the catchment covered by glaciers."
"lc_fp_index","0","forest plantation index: calculated as the ratio between fp_frac and the total forested area (fp_frac+nf_frac)."
"lc_forest","0.1168715","fraction of the catchment covered by forests; including native forest and forest plantation (fp_frac+nf_frac)."
"lc_dom_name","lc_barren","dominant land cover class"
"lc_frac_dom","76.58172","fraction of the basin associated with dominant land cover class"
"lc_nodata","0.008871437","percentage of the basin not covered by the land cover map"
"pet_mean_1990_2010","1.693629","mean daily PET (calculated with Hargreaves formula)"
"pet_mean_1979_2010","1.681698","mean daily PET (calculated with Hargreaves formula)"
"p_mean_cr2met_1990_2010","1.0771","mean daily precipitation calculated from CR2MET period 1990-2010"
"p_mean_cr2met_1979_2010","1.152366","mean daily precipitation calculated from CR2MET period 1979-2010"
"p_mean_chirps_1990_2010","1.637482","mean daily precipitation calculated from CHIRPS period 1990-2010"
"p_mean_chirps_1979_2010","1.622632","mean daily precipitation calculated from CHIRPS period 1979-2010"
"p_mean_mswep_1990_2010","0.9311655","mean daily precipitation calculated from MSWEP period 1990-2010"
"p_mean_mswep_1979_2010","0.9766436","mean daily precipitation calculated from MSWEP period 1979-2010"
