"date","year","month","day","5405001"
1979-01-01,"1979","01","01",2.887
1979-01-02,"1979","01","02",3.375
1979-01-03,"1979","01","03",3.634
1979-01-04,"1979","01","04",3.766
1979-01-05,"1979","01","05",3.603
1979-01-06,"1979","01","06",3.36
1979-01-07,"1979","01","07",3.356
1979-01-08,"1979","01","08",3.299
1979-01-09,"1979","01","09",3.475
1979-01-10,"1979","01","10",3.394
1979-01-11,"1979","01","11",3.091
1979-01-12,"1979","01","12",2.525
1979-01-13,"1979","01","13",3.199
1979-01-14,"1979","01","14",3.453
1979-01-15,"1979","01","15",3.29
1979-01-16,"1979","01","16",3.438
1979-01-17,"1979","01","17",3.662
1979-01-18,"1979","01","18",3.305
1979-01-19,"1979","01","19",3.018
1979-01-20,"1979","01","20",3.399
1979-01-21,"1979","01","21",3.306
1979-01-22,"1979","01","22",3.114
1979-01-23,"1979","01","23",2.952
1979-01-24,"1979","01","24",3.254
1979-01-25,"1979","01","25",3.293
1979-01-26,"1979","01","26",3.113
1979-01-27,"1979","01","27",3.265
1979-01-28,"1979","01","28",3.28
1979-01-29,"1979","01","29",3.117
1979-01-30,"1979","01","30",2.436
1979-01-31,"1979","01","31",2.667
1979-02-01,"1979","02","01",2.94
1979-02-02,"1979","02","02",2.638
1979-02-03,"1979","02","03",2.637
1979-02-04,"1979","02","04",2.594
1979-02-05,"1979","02","05",2.682
1979-02-06,"1979","02","06",2.593
1979-02-07,"1979","02","07",2.267
1979-02-08,"1979","02","08",1.806
1979-02-09,"1979","02","09",2.365
1979-02-10,"1979","02","10",2.858
1979-02-11,"1979","02","11",2.58
1979-02-12,"1979","02","12",2.778
1979-02-13,"1979","02","13",2.51
1979-02-14,"1979","02","14",1.993
1979-02-15,"1979","02","15",2.44
1979-02-16,"1979","02","16",2.63
1979-02-17,"1979","02","17",2.566
1979-02-18,"1979","02","18",2.72
1979-02-19,"1979","02","19",2.315
1979-02-20,"1979","02","20",3.125
1979-02-21,"1979","02","21",3.602
1979-02-22,"1979","02","22",3.006
1979-02-23,"1979","02","23",2.235
1979-02-24,"1979","02","24",2.211
1979-02-25,"1979","02","25",2.782
1979-02-26,"1979","02","26",2.609
1979-02-27,"1979","02","27",2.606
1979-02-28,"1979","02","28",2.731
1979-03-01,"1979","03","01",2.507
1979-03-02,"1979","03","02",2.082
1979-03-03,"1979","03","03",2.495
1979-03-04,"1979","03","04",2.095
1979-03-05,"1979","03","05",2.579
1979-03-06,"1979","03","06",2.22
1979-03-07,"1979","03","07",2.545
1979-03-08,"1979","03","08",2.015
1979-03-09,"1979","03","09",2.372
1979-03-10,"1979","03","10",2.242
1979-03-11,"1979","03","11",1.879
1979-03-12,"1979","03","12",1.594
1979-03-13,"1979","03","13",2.464
1979-03-14,"1979","03","14",2.515
1979-03-15,"1979","03","15",2.428
1979-03-16,"1979","03","16",2.455
1979-03-17,"1979","03","17",2.448
1979-03-18,"1979","03","18",2.36
1979-03-19,"1979","03","19",2.449
1979-03-20,"1979","03","20",2.633
1979-03-21,"1979","03","21",2.159
1979-03-22,"1979","03","22",1.89
1979-03-23,"1979","03","23",2.197
1979-03-24,"1979","03","24",2.332
1979-03-25,"1979","03","25",1.831
1979-03-26,"1979","03","26",1.678
1979-03-27,"1979","03","27",1.773
1979-03-28,"1979","03","28",2.04
1979-03-29,"1979","03","29",2.107
1979-03-30,"1979","03","30",1.875
1979-03-31,"1979","03","31",2.455
1979-04-01,"1979","04","01",1.933
1979-04-02,"1979","04","02",1.46
1979-04-03,"1979","04","03",0.862
1979-04-04,"1979","04","04",0.747
1979-04-05,"1979","04","05",1.642
1979-04-06,"1979","04","06",2.012
1979-04-07,"1979","04","07",1.943
1979-04-08,"1979","04","08",1.481
1979-04-09,"1979","04","09",1.783
1979-04-10,"1979","04","10",1.962
1979-04-11,"1979","04","11",1.728
1979-04-12,"1979","04","12",1.401
1979-04-13,"1979","04","13",1.447
1979-04-14,"1979","04","14",1.656
1979-04-15,"1979","04","15",2.03
1979-04-16,"1979","04","16",1.784
1979-04-17,"1979","04","17",1.734
1979-04-18,"1979","04","18",1.501
1979-04-19,"1979","04","19",1.68
1979-04-20,"1979","04","20",1.673
1979-04-21,"1979","04","21",1.543
1979-04-22,"1979","04","22",1.592
1979-04-23,"1979","04","23",1.641
1979-04-24,"1979","04","24",1.379
1979-04-25,"1979","04","25",1.329
1979-04-26,"1979","04","26",1.539
1979-04-27,"1979","04","27",1.122
1979-04-28,"1979","04","28",0.754
1979-04-29,"1979","04","29",1.106
1979-04-30,"1979","04","30",1.191
1979-05-01,"1979","05","01",1.107
1979-05-02,"1979","05","02",0.782
1979-05-03,"1979","05","03",0.819
1979-05-04,"1979","05","04",1.171
1979-05-05,"1979","05","05",0.907
1979-05-06,"1979","05","06",0.979
1979-05-07,"1979","05","07",1.089
1979-05-08,"1979","05","08",0.858
1979-05-09,"1979","05","09",1.055
1979-05-10,"1979","05","10",0.871
1979-05-11,"1979","05","11",0.999
1979-05-12,"1979","05","12",1.086
1979-05-13,"1979","05","13",0.89
1979-05-14,"1979","05","14",1.151
1979-05-15,"1979","05","15",0.92
1979-05-16,"1979","05","16",0.848
1979-05-17,"1979","05","17",0.656
1979-05-18,"1979","05","18",0.797
1979-05-19,"1979","05","19",1.059
1979-05-20,"1979","05","20",1.081
1979-05-21,"1979","05","21",0.828
1979-05-22,"1979","05","22",0.992
1979-05-23,"1979","05","23",1.015
1979-05-24,"1979","05","24",1.072
1979-05-25,"1979","05","25",0.81
1979-05-26,"1979","05","26",1.063
1979-05-27,"1979","05","27",0.923
1979-05-28,"1979","05","28",0.65
1979-05-29,"1979","05","29",0.742
1979-05-30,"1979","05","30",1.005
1979-05-31,"1979","05","31",1.135
1979-06-01,"1979","06","01",1.026
1979-06-02,"1979","06","02",0.782
1979-06-03,"1979","06","03",0.625
1979-06-04,"1979","06","04",0.67
1979-06-05,"1979","06","05",0.673
1979-06-06,"1979","06","06",0.62
1979-06-07,"1979","06","07",0.701
1979-06-08,"1979","06","08",0.877
1979-06-09,"1979","06","09",0.758
1979-06-10,"1979","06","10",0.629
1979-06-11,"1979","06","11",0.664
1979-06-12,"1979","06","12",0.72
1979-06-13,"1979","06","13",0.841
1979-06-14,"1979","06","14",0.808
1979-06-15,"1979","06","15",0.745
1979-06-16,"1979","06","16",0.892
1979-06-17,"1979","06","17",0.925
1979-06-18,"1979","06","18",0.841
1979-06-19,"1979","06","19",0.825
1979-06-20,"1979","06","20",0.844
1979-06-21,"1979","06","21",0.905
1979-06-22,"1979","06","22",0.686
1979-06-23,"1979","06","23",0.496
1979-06-24,"1979","06","24",0.771
1979-06-25,"1979","06","25",0.94
1979-06-26,"1979","06","26",0.96
1979-06-27,"1979","06","27",0.966
1979-06-28,"1979","06","28",0.941
1979-06-29,"1979","06","29",0.858
1979-06-30,"1979","06","30",0.553
1979-07-01,"1979","07","01",0.764
1979-07-02,"1979","07","02",0.843
1979-07-03,"1979","07","03",0.769
1979-07-04,"1979","07","04",0.875
1979-07-05,"1979","07","05",0.904
1979-07-06,"1979","07","06",0.845
1979-07-07,"1979","07","07",0.88
1979-07-08,"1979","07","08",1.077
1979-07-09,"1979","07","09",1.087
1979-07-10,"1979","07","10",1.056
1979-07-11,"1979","07","11",1.12
1979-07-12,"1979","07","12",1.083
1979-07-13,"1979","07","13",0.833
1979-07-14,"1979","07","14",0.79
1979-07-15,"1979","07","15",0.971
1979-07-16,"1979","07","16",1.002
1979-07-17,"1979","07","17",0.805
1979-07-18,"1979","07","18",0.591
1979-07-19,"1979","07","19",1.135
1979-07-20,"1979","07","20",1.159
1979-07-21,"1979","07","21",0.99
1979-07-22,"1979","07","22",0.921
1979-07-23,"1979","07","23",0.758
1979-07-24,"1979","07","24",0.678
1979-07-25,"1979","07","25",0.881
1979-07-26,"1979","07","26",0.738
1979-07-27,"1979","07","27",0.856
1979-07-28,"1979","07","28",0.915
1979-07-29,"1979","07","29",1.078
1979-07-30,"1979","07","30",0.91
1979-07-31,"1979","07","31",0.704
1979-08-01,"1979","08","01",0.546
1979-08-02,"1979","08","02",0.72
1979-08-03,"1979","08","03",0.604
1979-08-04,"1979","08","04",0.774
1979-08-05,"1979","08","05",0.985
1979-08-06,"1979","08","06",0.902
1979-08-07,"1979","08","07",1.044
1979-08-08,"1979","08","08",1.122
1979-08-09,"1979","08","09",1.364
1979-08-10,"1979","08","10",1.339
1979-08-11,"1979","08","11",1.35
1979-08-12,"1979","08","12",1.216
1979-08-13,"1979","08","13",1.184
1979-08-14,"1979","08","14",1.115
1979-08-15,"1979","08","15",1.007
1979-08-16,"1979","08","16",1.018
1979-08-17,"1979","08","17",1.31
1979-08-18,"1979","08","18",1.555
1979-08-19,"1979","08","19",1.581
1979-08-20,"1979","08","20",1.489
1979-08-21,"1979","08","21",1.313
1979-08-22,"1979","08","22",1.471
1979-08-23,"1979","08","23",1.409
1979-08-24,"1979","08","24",1.102
1979-08-25,"1979","08","25",0.904
1979-08-26,"1979","08","26",1.109
1979-08-27,"1979","08","27",0.831
1979-08-28,"1979","08","28",1.022
1979-08-29,"1979","08","29",1.374
1979-08-30,"1979","08","30",1.175
1979-08-31,"1979","08","31",0.933
1979-09-01,"1979","09","01",0.748
1979-09-02,"1979","09","02",1.154
1979-09-03,"1979","09","03",1.296
1979-09-04,"1979","09","04",1.387
1979-09-05,"1979","09","05",1.534
1979-09-06,"1979","09","06",1.477
1979-09-07,"1979","09","07",1.106
1979-09-08,"1979","09","08",1.121
1979-09-09,"1979","09","09",1.595
1979-09-10,"1979","09","10",1.607
1979-09-11,"1979","09","11",1.182
1979-09-12,"1979","09","12",0.97
1979-09-13,"1979","09","13",1.239
1979-09-14,"1979","09","14",0.837
1979-09-15,"1979","09","15",1.152
1979-09-16,"1979","09","16",1.254
1979-09-17,"1979","09","17",1.235
1979-09-18,"1979","09","18",1.714
1979-09-19,"1979","09","19",1.701
1979-09-20,"1979","09","20",1.537
1979-09-21,"1979","09","21",1.731
1979-09-22,"1979","09","22",1.611
1979-09-23,"1979","09","23",1.306
1979-09-24,"1979","09","24",1.389
1979-09-25,"1979","09","25",1.64
1979-09-26,"1979","09","26",1.135
1979-09-27,"1979","09","27",1.021
1979-09-28,"1979","09","28",1.014
1979-09-29,"1979","09","29",1.112
1979-09-30,"1979","09","30",1.243
1979-10-01,"1979","10","01",1.081
1979-10-02,"1979","10","02",1.458
1979-10-03,"1979","10","03",1.476
1979-10-04,"1979","10","04",1.409
1979-10-05,"1979","10","05",1.332
1979-10-06,"1979","10","06",1.847
