"date","year","month","day","5405001"
1979-01-01,"1979","01","01",100.326
1979-02-01,"1979","02","01",72.819
1979-03-01,"1979","03","01",68.714
1979-04-01,"1979","04","01",45.655
1979-05-01,"1979","05","01",29.36
1979-06-01,"1979","06","01",23.542
1979-07-01,"1979","07","01",28.018
1979-08-01,"1979","08","01",34.868
1979-09-01,"1979","09","01",39.048
1979-10-01,"1979","10","01",64.11
1979-11-01,"1979","11","01",62.74
1979-12-01,"1979","12","01",76.761
1980-01-01,"1980","01","01",95.925
1980-02-01,"1980","02","01",73.756
1980-03-01,"1980","03","01",75.815
1980-04-01,"1980","04","01",32.55
1980-05-01,"1980","05","01",25.755
1980-06-01,"1980","06","01",20.524
1980-07-01,"1980","07","01",20.653
1980-08-01,"1980","08","01",34.159
1980-09-01,"1980","09","01",47.921
1980-10-01,"1980","10","01",61.538
1980-11-01,"1980","11","01",65.987
1980-12-01,"1980","12","01",81.72
1981-01-01,"1981","01","01",87.24
1981-02-01,"1981","02","01",82.286
1981-03-01,"1981","03","01",68.647
1981-04-01,"1981","04","01",47.271
1981-05-01,"1981","05","01",27.206
1981-06-01,"1981","06","01",18.488
1981-07-01,"1981","07","01",22.964
1981-08-01,"1981","08","01",34.219
1981-09-01,"1981","09","01",45.56
1981-10-01,"1981","10","01",59.816
1981-11-01,"1981","11","01",70.676
1981-12-01,"1981","12","01",93.253
1982-01-01,"1982","01","01",95.093
1982-02-01,"1982","02","01",70.488
1982-03-01,"1982","03","01",66.341
1982-04-01,"1982","04","01",51.109
1982-05-01,"1982","05","01",28.821
1982-06-01,"1982","06","01",15.907
1982-07-01,"1982","07","01",21.19
1982-08-01,"1982","08","01",35.458
1982-09-01,"1982","09","01",43.488
1982-10-01,"1982","10","01",56.929
1982-11-01,"1982","11","01",63.265
1982-12-01,"1982","12","01",87.432
1983-01-01,"1983","01","01",89.442
1983-02-01,"1983","02","01",76.778
1983-03-01,"1983","03","01",70.755
1983-04-01,"1983","04","01",44.683
1983-05-01,"1983","05","01",25.671
1983-06-01,"1983","06","01",14.63
1983-07-01,"1983","07","01",19.245
1983-08-01,"1983","08","01",29.327
1983-09-01,"1983","09","01",36.886
1983-10-01,"1983","10","01",64.67
1983-11-01,"1983","11","01",73.046
1983-12-01,"1983","12","01",93.556
1984-01-01,"1984","01","01",93.048
1984-02-01,"1984","02","01",77.778
1984-03-01,"1984","03","01",63.733
1984-04-01,"1984","04","01",46.656
1984-05-01,"1984","05","01",23.513
1984-06-01,"1984","06","01",14.307
1984-07-01,"1984","07","01",21.466
1984-08-01,"1984","08","01",28.672
1984-09-01,"1984","09","01",41.178
1984-10-01,"1984","10","01",61.945
1984-11-01,"1984","11","01",66.478
1984-12-01,"1984","12","01",82.834
1985-01-01,"1985","01","01",89.005
1985-02-01,"1985","02","01",79.763
1985-03-01,"1985","03","01",66.466
1985-04-01,"1985","04","01",47.1
1985-05-01,"1985","05","01",32.65
1985-06-01,"1985","06","01",24.406
1985-07-01,"1985","07","01",20.567
1985-08-01,"1985","08","01",31.505
1985-09-01,"1985","09","01",47.596
1985-10-01,"1985","10","01",57.529
1985-11-01,"1985","11","01",74.105
1985-12-01,"1985","12","01",90.719
1986-01-01,"1986","01","01",100.729
1986-02-01,"1986","02","01",72.48
1986-03-01,"1986","03","01",68.405
1986-04-01,"1986","04","01",43.008
1986-05-01,"1986","05","01",27.729
1986-06-01,"1986","06","01",18.291
1986-07-01,"1986","07","01",27.21
1986-08-01,"1986","08","01",31.621
1986-09-01,"1986","09","01",42.7
1986-10-01,"1986","10","01",61.415
1986-11-01,"1986","11","01",63.866
1986-12-01,"1986","12","01",92.172
1987-01-01,"1987","01","01",99.433
1987-02-01,"1987","02","01",81.865
1987-03-01,"1987","03","01",64.714
1987-04-01,"1987","04","01",49.088
1987-05-01,"1987","05","01",22.38
1987-06-01,"1987","06","01",21.493
1987-07-01,"1987","07","01",19.514
1987-08-01,"1987","08","01",29.792
1987-09-01,"1987","09","01",42.25
1987-10-01,"1987","10","01",57.621
1987-11-01,"1987","11","01",74.683
1987-12-01,"1987","12","01",84.366
1988-01-01,"1988","01","01",92.387
1988-02-01,"1988","02","01",81.107
1988-03-01,"1988","03","01",69.247
1988-04-01,"1988","04","01",47.943
1988-05-01,"1988","05","01",30.959
1988-06-01,"1988","06","01",21.671
1988-07-01,"1988","07","01",23.78
1988-08-01,"1988","08","01",28.896
1988-09-01,"1988","09","01",43.331
1988-10-01,"1988","10","01",63.936
1988-11-01,"1988","11","01",77.521
1988-12-01,"1988","12","01",86.489
1989-01-01,"1989","01","01",94.393
1989-02-01,"1989","02","01",79.638
1989-03-01,"1989","03","01",68.437
1989-04-01,"1989","04","01",50.538
1989-05-01,"1989","05","01",29.916
1989-06-01,"1989","06","01",22.806
1989-07-01,"1989","07","01",24.275
1989-08-01,"1989","08","01",31.459
1989-09-01,"1989","09","01",42.192
1989-10-01,"1989","10","01",67.567
1989-11-01,"1989","11","01",74.115
1989-12-01,"1989","12","01",85.613
1990-01-01,"1990","01","01",99.136
1990-02-01,"1990","02","01",72.948
1990-03-01,"1990","03","01",65.474
1990-04-01,"1990","04","01",42.066
1990-05-01,"1990","05","01",30.646
1990-06-01,"1990","06","01",22.203
1990-07-01,"1990","07","01",21.572
1990-08-01,"1990","08","01",38.782
1990-09-01,"1990","09","01",44.7
1990-10-01,"1990","10","01",62.203
1990-11-01,"1990","11","01",76.665
1990-12-01,"1990","12","01",92.811
1991-01-01,"1991","01","01",96.336
1991-02-01,"1991","02","01",80.775
1991-03-01,"1991","03","01",72.295
1991-04-01,"1991","04","01",41.747
1991-05-01,"1991","05","01",29.207
1991-06-01,"1991","06","01",18.332
1991-07-01,"1991","07","01",20.114
1991-08-01,"1991","08","01",33.737
1991-09-01,"1991","09","01",47.384
1991-10-01,"1991","10","01",60.229
1991-11-01,"1991","11","01",69.999
1991-12-01,"1991","12","01",78.421
1992-01-01,"1992","01","01",97.972
1992-02-01,"1992","02","01",74.628
1992-03-01,"1992","03","01",68.142
1992-04-01,"1992","04","01",41.092
1992-05-01,"1992","05","01",22.065
1992-06-01,"1992","06","01",16.299
1992-07-01,"1992","07","01",19.708
1992-08-01,"1992","08","01",33.557
1992-09-01,"1992","09","01",46.124
1992-10-01,"1992","10","01",63.299
1992-11-01,"1992","11","01",65.211
1992-12-01,"1992","12","01",86.898
1993-01-01,"1993","01","01",98.78
1993-02-01,"1993","02","01",75.312
1993-03-01,"1993","03","01",75.001
1993-04-01,"1993","04","01",40.739
1993-05-01,"1993","05","01",23.497
1993-06-01,"1993","06","01",19.482
1993-07-01,"1993","07","01",21.282
1993-08-01,"1993","08","01",34.91
1993-09-01,"1993","09","01",43.624
1993-10-01,"1993","10","01",62.423
1993-11-01,"1993","11","01",72.756
1993-12-01,"1993","12","01",92.308
1994-01-01,"1994","01","01",97.817
1994-02-01,"1994","02","01",71.822
1994-03-01,"1994","03","01",70.59
1994-04-01,"1994","04","01",43.328
1994-05-01,"1994","05","01",31.465
1994-06-01,"1994","06","01",20.276
1994-07-01,"1994","07","01",19.963
1994-08-01,"1994","08","01",34.145
1994-09-01,"1994","09","01",52.789
1994-10-01,"1994","10","01",59.716
1994-11-01,"1994","11","01",73.302
1994-12-01,"1994","12","01",98.364
1995-01-01,"1995","01","01",94.769
1995-02-01,"1995","02","01",71.975
1995-03-01,"1995","03","01",70.017
1995-04-01,"1995","04","01",48.563
1995-05-01,"1995","05","01",34.034
1995-06-01,"1995","06","01",20.932
1995-07-01,"1995","07","01",17.348
1995-08-01,"1995","08","01",28.976
1995-09-01,"1995","09","01",46.465
1995-10-01,"1995","10","01",61.869
1995-11-01,"1995","11","01",77.705
