"date","year","month","day","5405001"
1979-01-01,1979,1,1,0.18374199704
1979-02-01,1979,2,1,4.2068068
1979-03-01,1979,3,1,5.2917363e-05
1979-04-01,1979,4,1,5.801742827
1979-05-01,1979,5,1,14.771827404
1979-06-01,1979,6,1,0
1979-07-01,1979,7,1,71.04175919
1979-08-01,1979,8,1,72.72928503519
1979-09-01,1979,9,1,1.968626789
1979-10-01,1979,10,1,3.47479927
1979-11-01,1979,11,1,16.0775713907
1979-12-01,1979,12,1,14.47003476247
1980-01-01,1980,1,1,22.65337467593
1980-02-01,1980,2,1,17.34283783426
1980-03-01,1980,3,1,0.21421216
1980-04-01,1980,4,1,199.1376585114
1980-05-01,1980,5,1,132.70377543
1980-06-01,1980,6,1,29.512904907
1980-07-01,1980,7,1,78.210357818
1980-08-01,1980,8,1,0.57164889119
1980-09-01,1980,9,1,34.1693414904
1980-10-01,1980,10,1,5.91516161595
1980-11-01,1980,11,1,6.67150062
1980-12-01,1980,12,1,8.63629076
1981-01-01,1981,1,1,2.223538093405
1981-02-01,1981,2,1,15.4020806649
1981-03-01,1981,3,1,0.02378531
1981-04-01,1981,4,1,0.0080217014
1981-05-01,1981,5,1,105.47305549
1981-06-01,1981,6,1,6.445515739
1981-07-01,1981,7,1,9.97334952
1981-08-01,1981,8,1,25.25100550964
1981-09-01,1981,9,1,3.6864923037
1981-10-01,1981,10,1,0
1981-11-01,1981,11,1,0.23650574
1981-12-01,1981,12,1,5.1832679883
1982-01-01,1982,1,1,2.032956722483
1982-02-01,1982,2,1,0.795456372945
1982-03-01,1982,3,1,8.60786275
1982-04-01,1982,4,1,0
1982-05-01,1982,5,1,124.4183013
1982-06-01,1982,6,1,449.307566689
1982-07-01,1982,7,1,167.8895463942
1982-08-01,1982,8,1,140.97437085
1982-09-01,1982,9,1,105.3644455824
1982-10-01,1982,10,1,12.182432102
1982-11-01,1982,11,1,0.37263973
1982-12-01,1982,12,1,0.78595139
1983-01-01,1983,1,1,33.50613561
1983-02-01,1983,2,1,8.4488317642
1983-03-01,1983,3,1,0.83521371
1983-04-01,1983,4,1,16.62930828
1983-05-01,1983,5,1,32.62735671213
1983-06-01,1983,6,1,50.0641118875
1983-07-01,1983,7,1,178.93950193
1983-08-01,1983,8,1,61.9120812087
1983-09-01,1983,9,1,4.4095422807
1983-10-01,1983,10,1,1.8228129
1983-11-01,1983,11,1,0
1983-12-01,1983,12,1,0
1984-01-01,1984,1,1,9.6961934294
1984-02-01,1984,2,1,0
1984-03-01,1984,3,1,20.5273369747
1984-04-01,1984,4,1,0.72135532
1984-05-01,1984,5,1,41.4715101314
1984-06-01,1984,6,1,62.470980237497
1984-07-01,1984,7,1,452.97856001
1984-08-01,1984,8,1,15.68664589941
1984-09-01,1984,9,1,62.53930876865
1984-10-01,1984,10,1,10.814049433
1984-11-01,1984,11,1,11.9569067
1984-12-01,1984,12,1,0
1985-01-01,1985,1,1,16.59827104061
1985-02-01,1985,2,1,0.877162105
1985-03-01,1985,3,1,13.47935312
1985-04-01,1985,4,1,5.126415525
1985-05-01,1985,5,1,22.5333826502
1985-06-01,1985,6,1,5.2559648915
1985-07-01,1985,7,1,52.46995918
1985-08-01,1985,8,1,0.26285902
1985-09-01,1985,9,1,25.7070896261
1985-10-01,1985,10,1,44.160174998651
1985-11-01,1985,11,1,0.41768845
1985-12-01,1985,12,1,0.66021410723
1986-01-01,1986,1,1,0.05079345425
1986-02-01,1986,2,1,11.02375623638
1986-03-01,1986,3,1,0
1986-04-01,1986,4,1,18.377339376
1986-05-01,1986,5,1,186.632435411
