"date","year","month","day","5405001"
1979-01-01,1979,1,1,0.029
1979-02-01,1979,2,1,0
1979-03-01,1979,3,1,0
1979-04-01,1979,4,1,13.148
1979-05-01,1979,5,1,11.64
1979-06-01,1979,6,1,0.136
1979-07-01,1979,7,1,63.636
1979-08-01,1979,8,1,55.014
1979-09-01,1979,9,1,33.396
1979-10-01,1979,10,1,0
1979-11-01,1979,11,1,18.408
1979-12-01,1979,12,1,17.344
1980-01-01,1980,1,1,2.405
1980-02-01,1980,2,1,17.813
1980-03-01,1980,3,1,1.227
1980-04-01,1980,4,1,94.848
1980-05-01,1980,5,1,32.395
1980-06-01,1980,6,1,74.909
1980-07-01,1980,7,1,92.721
1980-08-01,1980,8,1,15.605
1980-09-01,1980,9,1,52.421
1980-10-01,1980,10,1,13.176
1980-11-01,1980,11,1,4.73
1980-12-01,1980,12,1,3.818
1981-01-01,1981,1,1,0
1981-02-01,1981,2,1,6.998
1981-03-01,1981,3,1,0.289
1981-04-01,1981,4,1,3.137
1981-05-01,1981,5,1,118.514
1981-06-01,1981,6,1,30.662
1981-07-01,1981,7,1,21.906
1981-08-01,1981,8,1,26.406
1981-09-01,1981,9,1,7.913
1981-10-01,1981,10,1,1.301
1981-11-01,1981,11,1,0.564
1981-12-01,1981,12,1,0.05
1982-01-01,1982,1,1,0.115
1982-02-01,1982,2,1,0
1982-03-01,1982,3,1,15.304
1982-04-01,1982,4,1,0
1982-05-01,1982,5,1,104.937
1982-06-01,1982,6,1,301.723
1982-07-01,1982,7,1,166.123
1982-08-01,1982,8,1,68.064
1982-09-01,1982,9,1,33.962
1982-10-01,1982,10,1,12.8
1982-11-01,1982,11,1,4.217
1982-12-01,1982,12,1,0.239
1983-01-01,1983,1,1,14.818
1983-02-01,1983,2,1,0.648
1983-03-01,1983,3,1,0.001
1983-04-01,1983,4,1,24.512
1983-05-01,1983,5,1,40.139
1983-06-01,1983,6,1,99.595
1983-07-01,1983,7,1,139.434
1983-08-01,1983,8,1,53.553
1983-09-01,1983,9,1,30.074
1983-10-01,1983,10,1,0.076
1983-11-01,1983,11,1,4.508
1983-12-01,1983,12,1,0.828
1984-01-01,1984,1,1,3.331
1984-02-01,1984,2,1,0
1984-03-01,1984,3,1,4.492
1984-04-01,1984,4,1,0.817
1984-05-01,1984,5,1,38.003
1984-06-01,1984,6,1,37.276
1984-07-01,1984,7,1,288.005
1984-08-01,1984,8,1,27.695
1984-09-01,1984,9,1,41.84
1984-10-01,1984,10,1,14.777
1984-11-01,1984,11,1,3.582
1984-12-01,1984,12,1,2.235
1985-01-01,1985,1,1,1.964
1985-02-01,1985,2,1,0
1985-03-01,1985,3,1,6.518
1985-04-01,1985,4,1,2.331
1985-05-01,1985,5,1,32.648
1985-06-01,1985,6,1,8.933
1985-07-01,1985,7,1,82.922
1985-08-01,1985,8,1,2.366
1985-09-01,1985,9,1,4.702
1985-10-01,1985,10,1,15.17
1985-11-01,1985,11,1,0.019
1985-12-01,1985,12,1,0
1986-01-01,1986,1,1,0
1986-02-01,1986,2,1,2.333
1986-03-01,1986,3,1,0
1986-04-01,1986,4,1,5.295
1986-05-01,1986,5,1,137.281
1986-06-01,1986,6,1,129.491
1986-07-01,1986,7,1,1.519
1986-08-01,1986,8,1,73.532
1986-09-01,1986,9,1,4.665
1986-10-01,1986,10,1,22.151
1986-11-01,1986,11,1,11.694
1986-12-01,1986,12,1,0.018
1987-01-01,1987,1,1,0.058
1987-02-01,1987,2,1,2.739
1987-03-01,1987,3,1,12.664
1987-04-01,1987,4,1,14.334
1987-05-01,1987,5,1,31.65
1987-06-01,1987,6,1,56.2
1987-07-01,1987,7,1,474.745
1987-08-01,1987,8,1,231.386
1987-09-01,1987,9,1,15.944
1987-10-01,1987,10,1,34.633
1987-11-01,1987,11,1,0.082
1987-12-01,1987,12,1,0
1988-01-01,1988,1,1,0
1988-02-01,1988,2,1,2.104
1988-03-01,1988,3,1,0.009
1988-04-01,1988,4,1,0.048
1988-05-01,1988,5,1,9.286
1988-06-01,1988,6,1,3.166
1988-07-01,1988,7,1,34.641
1988-08-01,1988,8,1,34.105
1988-09-01,1988,9,1,20.826
1988-10-01,1988,10,1,0.181
