"date","year","month","day","5405001"
1979-01-01,1979,1,1,10.870149
1979-01-02,1979,1,2,13.042206
1979-01-03,1979,1,3,14.780761
1979-01-04,1979,1,4,15.689641
1979-01-05,1979,1,5,15.578084
1979-01-06,1979,1,6,14.899651
1979-01-07,1979,1,7,14.921321
1979-01-08,1979,1,8,14.530536
1979-01-09,1979,1,9,14.917887
1979-01-10,1979,1,10,14.254867
1979-01-11,1979,1,11,12.825575
1979-01-12,1979,1,12,9.5191147
1979-01-13,1979,1,13,12.302005
1979-01-14,1979,1,14,13.94745
1979-01-15,1979,1,15,13.685851
1979-01-16,1979,1,16,14.292156
1979-01-17,1979,1,17,15.783581
1979-01-18,1979,1,18,15.397702
1979-01-19,1979,1,19,13.855209
1979-01-20,1979,1,20,14.871589
1979-01-21,1979,1,21,14.722012
1979-01-22,1979,1,22,13.595858
1979-01-23,1979,1,23,12.483439
1979-01-24,1979,1,24,13.538292
1979-01-25,1979,1,25,14.306776
1979-01-26,1979,1,26,14.077569
1979-01-27,1979,1,27,14.302855
1979-01-28,1979,1,28,14.79565
1979-01-29,1979,1,29,14.535228
1979-01-30,1979,1,30,12.26311
1979-01-31,1979,1,31,11.740319
1979-02-01,1979,2,1,12.500869
1979-02-02,1979,2,2,12.035186
1979-02-03,1979,2,3,11.678082
1979-02-04,1979,2,4,10.61151
1979-02-05,1979,2,5,11.476781
1979-02-06,1979,2,6,10.208607
1979-02-07,1979,2,7,9.7995485
1979-02-08,1979,2,8,7.7533261
1979-02-09,1979,2,9,8.758704
1979-02-10,1979,2,10,11.794418
1979-02-11,1979,2,11,11.139429
1979-02-12,1979,2,12,11.437201
1979-02-13,1979,2,13,10.37595
1979-02-14,1979,2,14,7.9470996
1979-02-15,1979,2,15,9.6372079
1979-02-16,1979,2,16,11.084602
1979-02-17,1979,2,17,11.21991
1979-02-18,1979,2,18,12.121338
1979-02-19,1979,2,19,10.229264
1979-02-20,1979,2,20,14.395083
1979-02-21,1979,2,21,17.883771
1979-02-22,1979,2,22,15.933093
1979-02-23,1979,2,23,12.759861
1979-02-24,1979,2,24,11.525041
1979-02-25,1979,2,25,12.713402
1979-02-26,1979,2,26,12.44531
1979-02-27,1979,2,27,11.708611
1979-02-28,1979,2,28,13.3234
1979-03-01,1979,3,1,13.297906
1979-03-02,1979,3,2,10.276599
1979-03-03,1979,3,3,11.805286
1979-03-04,1979,3,4,9.8721251
1979-03-05,1979,3,5,12.270798
1979-03-06,1979,3,6,10.659084
1979-03-07,1979,3,7,12.138185
1979-03-08,1979,3,8,8.9293078
1979-03-09,1979,3,9,11.098658
1979-03-10,1979,3,10,10.694797
1979-03-11,1979,3,11,9.2787138
1979-03-12,1979,3,12,7.3880595
1979-03-13,1979,3,13,11.48263
1979-03-14,1979,3,14,12.799387
1979-03-15,1979,3,15,12.629794
1979-03-16,1979,3,16,13.270868
1979-03-17,1979,3,17,13.563024
1979-03-18,1979,3,18,13.318427
1979-03-19,1979,3,19,14.079019
1979-03-20,1979,3,20,15.275693
1979-03-21,1979,3,21,12.449038
1979-03-22,1979,3,22,9.7831905
1979-03-23,1979,3,23,12.460005
1979-03-24,1979,3,24,12.854495
1979-03-25,1979,3,25,10.290828
1979-03-26,1979,3,26,8.5653448
1979-03-27,1979,3,27,8.6568142
1979-03-28,1979,3,28,10.794053
1979-03-29,1979,3,29,11.991244
1979-03-30,1979,3,30,11.34529
1979-03-31,1979,3,31,14.649185
1979-04-01,1979,4,1,10.71064
1979-04-02,1979,4,2,7.5574467
1979-04-03,1979,4,3,2.5569296
1979-04-04,1979,4,4,-0.71433114
1979-04-05,1979,4,5,5.805351
1979-04-06,1979,4,6,10.032498
1979-04-07,1979,4,7,10.851697
1979-04-08,1979,4,8,8.2709414
1979-04-09,1979,4,9,9.640737
1979-04-10,1979,4,10,11.75158
1979-04-11,1979,4,11,10.646178
1979-04-12,1979,4,12,7.5699405
1979-04-13,1979,4,13,7.6297693
1979-04-14,1979,4,14,9.0694077
1979-04-15,1979,4,15,12.489819
1979-04-16,1979,4,16,11.127429
1979-04-17,1979,4,17,11.360081
1979-04-18,1979,4,18,9.7130007
1979-04-19,1979,4,19,10.828186
1979-04-20,1979,4,20,10.971088
1979-04-21,1979,4,21,10.041827
1979-04-22,1979,4,22,10.556711
1979-04-23,1979,4,23,10.776173
1979-04-24,1979,4,24,9.3692302
1979-04-25,1979,4,25,8.7946838
1979-04-26,1979,4,26,9.9297226
1979-04-27,1979,4,27,6.7070218
1979-04-28,1979,4,28,0.76769385
1979-04-29,1979,4,29,3.2549355
1979-04-30,1979,4,30,5.6635188
1979-05-01,1979,5,1,6.4527112
1979-05-02,1979,5,2,2.1729042
1979-05-03,1979,5,3,0.72538732
1979-05-04,1979,5,4,5.240449
1979-05-05,1979,5,5,3.5014927
1979-05-06,1979,5,6,4.1600597
1979-05-07,1979,5,7,4.8680109
1979-05-08,1979,5,8,2.8724406
1979-05-09,1979,5,9,5.4339017
1979-05-10,1979,5,10,4.0869969
1979-05-11,1979,5,11,4.6411642
1979-05-12,1979,5,12,5.370828
1979-05-13,1979,5,13,3.2164776
1979-05-14,1979,5,14,6.8738519
1979-05-15,1979,5,15,5.0193197
1979-05-16,1979,5,16,4.4148338
1979-05-17,1979,5,17,1.3762029
1979-05-18,1979,5,18,2.820525
1979-05-19,1979,5,19,6.9595183
1979-05-20,1979,5,20,7.4071079
1979-05-21,1979,5,21,4.3815047
1979-05-22,1979,5,22,6.2533766
1979-05-23,1979,5,23,7.006123
1979-05-24,1979,5,24,8.027916
1979-05-25,1979,5,25,3.6445272
1979-05-26,1979,5,26,6.4488546
1979-05-27,1979,5,27,5.7721823
1979-05-28,1979,5,28,1.5549866
1979-05-29,1979,5,29,1.9120977
1979-05-30,1979,5,30,6.0408183
1979-05-31,1979,5,31,8.8895244
1979-06-01,1979,6,1,7.9757625
1979-06-02,1979,6,2,4.4573759
1979-06-03,1979,6,3,0.74330104
1979-06-04,1979,6,4,0.61496103
1979-06-05,1979,6,5,0.37282386
1979-06-06,1979,6,6,-0.19980293
1979-06-07,1979,6,7,1.2181289
1979-06-08,1979,6,8,4.3248488
1979-06-09,1979,6,9,2.8681314
1979-06-10,1979,6,10,0.081179621
1979-06-11,1979,6,11,0.56967462
1979-06-12,1979,6,12,2.3325398
1979-06-13,1979,6,13,4.353131
1979-06-14,1979,6,14,4.0260527
1979-06-15,1979,6,15,2.8402024
1979-06-16,1979,6,16,5.426066
1979-06-17,1979,6,17,6.2074952
1979-06-18,1979,6,18,5.1797786
1979-06-19,1979,6,19,4.6531258
1979-06-20,1979,6,20,4.8798783
1979-06-21,1979,6,21,5.715205
1979-06-22,1979,6,22,2.1868064
1979-06-23,1979,6,23,-2.0252263
1979-06-24,1979,6,24,2.6776956
1979-06-25,1979,6,25,6.2725062
1979-06-26,1979,6,26,6.4856829
1979-06-27,1979,6,27,6.6840358
1979-06-28,1979,6,28,6.1688404
1979-06-29,1979,6,29,4.8792379
1979-06-30,1979,6,30,-0.70663778
1979-07-01,1979,7,1,2.8384497
1979-07-02,1979,7,2,4.1702259
1979-07-03,1979,7,3,3.5951178
1979-07-04,1979,7,4,4.9156934
1979-07-05,1979,7,5,5.9952213
1979-07-06,1979,7,6,4.8557886
1979-07-07,1979,7,7,4.9489926
1979-07-08,1979,7,8,7.9268049
1979-07-09,1979,7,9,8.3716687
1979-07-10,1979,7,10,7.6856972
1979-07-11,1979,7,11,8.268093
1979-07-12,1979,7,12,7.6349684
1979-07-13,1979,7,13,3.8611576
1979-07-14,1979,7,14,2.6314814
1979-07-15,1979,7,15,5.0466948
1979-07-16,1979,7,16,5.6861581
1979-07-17,1979,7,17,2.9013428
