"date","year","month","day","5405001"
1979-01-01,1979,1,1,13.881498183871
1979-02-01,1979,2,1,11.5891644678571
1979-03-01,1979,3,1,11.5473499580645
1979-04-01,1979,4,1,8.45766354366667
1979-05-01,1979,5,1,4.75955144903226
1979-06-01,1979,6,1,3.3754266887
1979-07-01,1979,7,1,4.42603779322581
1979-08-01,1979,8,1,4.20579841193548
1979-09-01,1979,9,1,2.2715426529
1979-10-01,1979,10,1,6.59912317419355
1979-11-01,1979,11,1,7.17087286333333
1979-12-01,1979,12,1,9.55369891612903
1980-01-01,1980,1,1,12.8581788064516
1980-02-01,1980,2,1,11.1580194
1980-03-01,1980,3,1,14.0812906580645
1980-04-01,1980,4,1,4.902048446
1980-05-01,1980,5,1,3.64731411548387
1980-06-01,1980,6,1,2.13039664466667
1980-07-01,1980,7,1,0.315258384096774
1980-08-01,1980,8,1,3.22007647612903
1980-09-01,1980,9,1,5.22480154833333
1980-10-01,1980,10,1,5.88175526774194
1980-11-01,1980,11,1,6.64548217166667
1980-12-01,1980,12,1,9.92599176129032
1981-01-01,1981,1,1,10.9450887258065
1981-02-01,1981,2,1,13.8074337892857
1981-03-01,1981,3,1,11.6200440483871
1981-04-01,1981,4,1,8.93757513266667
1981-05-01,1981,5,1,4.23896221806452
1981-06-01,1981,6,1,0.9198000838
1981-07-01,1981,7,1,1.50113388225806
1981-08-01,1981,8,1,3.58562215870968
1981-09-01,1981,9,1,4.39500125866667
1981-10-01,1981,10,1,5.36905672277419
1981-11-01,1981,11,1,8.05260585666667
1981-12-01,1981,12,1,11.7562419096774
1982-01-01,1982,1,1,12.8605233064516
1982-02-01,1982,2,1,11.2283411535714
1982-03-01,1982,3,1,10.7648155096774
1982-04-01,1982,4,1,10.63012152
1982-05-01,1982,5,1,4.50904480929032
1982-06-01,1982,6,1,0.0913452395
1982-07-01,1982,7,1,1.21226071774194
1982-08-01,1982,8,1,4.74919255467742
1982-09-01,1982,9,1,4.9006453318
1982-10-01,1982,10,1,4.81801464280645
1982-11-01,1982,11,1,6.3721826116
1982-12-01,1982,12,1,11.2172498967742
1983-01-01,1983,1,1,11.8582195612903
1983-02-01,1983,2,1,12.3988213607143
1983-03-01,1983,3,1,12.1262922645161
1983-04-01,1983,4,1,8.01487990333333
1983-05-01,1983,5,1,2.18304800421613
1983-06-01,1983,6,1,-1.94989899033333
1983-07-01,1983,7,1,-0.739303141322581
1983-08-01,1983,8,1,1.523381184
1983-09-01,1983,9,1,1.11553365896667
1983-10-01,1983,10,1,7.12225583870968
1983-11-01,1983,11,1,9.08257445
1983-12-01,1983,12,1,12.6765464258065
1984-01-01,1984,1,1,12.8790460322581
1984-02-01,1984,2,1,12.5667792758621
1984-03-01,1984,3,1,10.9671526483871
1984-04-01,1984,4,1,8.612842356
1984-05-01,1984,5,1,1.75703903009677
1984-06-01,1984,6,1,-1.78065319
1984-07-01,1984,7,1,0.797595703709677
1984-08-01,1984,8,1,0.556578477419355
1984-09-01,1984,9,1,3.180338395
1984-10-01,1984,10,1,6.38448347774194
1984-11-01,1984,11,1,7.27154908433333
1984-12-01,1984,12,1,9.8347281
