"date","year","month","day","5405001"
1979-01-01,1979,1,1,2.8429366
1979-01-02,1979,1,2,3.0766108
1979-01-03,1979,1,3,4.4850967
1979-01-04,1979,1,4,5.2520797
1979-01-05,1979,1,5,6.2934691
1979-01-06,1979,1,6,6.7158728
1979-01-07,1979,1,7,6.7481662
1979-01-08,1979,1,8,6.4148693
1979-01-09,1979,1,9,5.8577217
1979-01-10,1979,1,10,5.1625011
1979-01-11,1979,1,11,4.6938542
1979-01-12,1979,1,12,2.8015329
1979-01-13,1979,1,13,2.6739627
1979-01-14,1979,1,14,3.8424129
1979-01-15,1979,1,15,4.649768
1979-01-16,1979,1,16,4.595073
1979-01-17,1979,1,17,5.7387843
1979-01-18,1979,1,18,7.5228215
1979-01-19,1979,1,19,6.6656916
1979-01-20,1979,1,20,5.8372909
1979-01-21,1979,1,21,6.1910487
1979-01-22,1979,1,22,5.4646284
1979-01-23,1979,1,23,4.568815
1979-01-24,1979,1,24,4.1263372
1979-01-25,1979,1,25,5.2609141
1979-01-26,1979,1,26,6.1070243
1979-01-27,1979,1,27,5.3345916
1979-01-28,1979,1,28,6.0871426
1979-01-29,1979,1,29,6.6915616
1979-01-30,1979,1,30,6.9750624
1979-01-31,1979,1,31,4.833641
1979-02-01,1979,2,1,4.1311057
1979-02-02,1979,2,2,5.4172031
1979-02-03,1979,2,3,4.7725417
1979-02-04,1979,2,4,3.170933
1979-02-05,1979,2,5,3.9670777
1979-02-06,1979,2,6,2.2656531
1979-02-07,1979,2,7,3.905073
1979-02-08,1979,2,8,3.4772971
1979-02-09,1979,2,9,1.2516981
1979-02-10,1979,2,10,2.6125193
1979-02-11,1979,2,11,3.6878256
1979-02-12,1979,2,12,2.433887
1979-02-13,1979,2,13,2.6982211
1979-02-14,1979,2,14,2.4087447
1979-02-15,1979,2,15,1.7142432
1979-02-16,1979,2,16,2.6736322
1979-02-17,1979,2,17,3.4042202
1979-02-18,1979,2,18,3.6508113
1979-02-19,1979,2,19,3.4595151
1979-02-20,1979,2,20,4.1600962
1979-02-21,1979,2,21,6.7956982
1979-02-22,1979,2,22,7.8530245
1979-02-23,1979,2,23,7.5618166
1979-02-24,1979,2,24,5.8113796
1979-02-25,1979,2,25,3.3026111
1979-02-26,1979,2,26,4.2713079
1979-02-27,1979,2,27,2.7277181
1979-02-28,1979,2,28,4.5782819
1979-03-01,1979,3,1,6.246815
1979-03-02,1979,3,2,4.2864676
1979-03-03,1979,3,3,3.4456919
1979-03-04,1979,3,4,3.3572574
1979-03-05,1979,3,5,3.2085036
1979-03-06,1979,3,6,3.4348607
1979-03-07,1979,3,7,2.9473189
1979-03-08,1979,3,8,1.962595
1979-03-09,1979,3,9,2.3409341
1979-03-10,1979,3,10,2.7382323
1979-03-11,1979,3,11,3.343433
1979-03-12,1979,3,12,2.4401354
1979-03-13,1979,3,13,1.2431112
1979-03-14,1979,3,14,3.3374976
1979-03-15,1979,3,15,3.7613646
1979-03-16,1979,3,16,4.5464864
1979-03-17,1979,3,17,4.9961983
1979-03-18,1979,3,18,5.2221591
1979-03-19,1979,3,19,5.5986324
1979-03-20,1979,3,20,5.8437112
1979-03-21,1979,3,21,5.0594516
1979-03-22,1979,3,22,2.8062878
1979-03-23,1979,3,23,4.3975675
1979-03-24,1979,3,24,3.4743744
1979-03-25,1979,3,25,3.8042124
1979-03-26,1979,3,26,2.2174469
1979-03-27,1979,3,27,1.232882
1979-03-28,1979,3,28,1.9711552
1979-03-29,1979,3,29,3.3494327
1979-03-30,1979,3,30,4.4744611
1979-03-31,1979,3,31,3.9858467
1979-04-01,1979,4,1,2.3461124
1979-04-02,1979,4,2,1.8006261
1979-04-03,1979,4,3,-0.71072169
1979-04-04,1979,4,4,-4.33601
1979-04-05,1979,4,5,-6.7848464
1979-04-06,1979,4,6,-2.3148554
1979-04-07,1979,4,7,1.0726777
1979-04-08,1979,4,8,1.9854981
1979-04-09,1979,4,9,0.38642398
1979-04-10,1979,4,10,1.9880281
1979-04-11,1979,4,11,2.8133895
1979-04-12,1979,4,12,1.1091448
1979-04-13,1979,4,13,0.4834283
1979-04-14,1979,4,14,-0.049078244
1979-04-15,1979,4,15,0.92615239
1979-04-16,1979,4,16,1.837091
1979-04-17,1979,4,17,2.8663119
1979-04-18,1979,4,18,2.7110277
1979-04-19,1979,4,19,2.112514
1979-04-20,1979,4,20,2.2812127
1979-04-21,1979,4,21,2.182278
1979-04-22,1979,4,22,2.2349234
1979-04-23,1979,4,23,1.6607252
1979-04-24,1979,4,24,2.6515522
1979-04-25,1979,4,25,2.1462498
1979-04-26,1979,4,26,0.84025059
1979-04-27,1979,4,27,1.0084894
1979-04-28,1979,4,28,-3.8924406
1979-04-29,1979,4,29,-7.4850717
1979-04-30,1979,4,30,-2.8224568
1979-05-01,1979,5,1,0.246573
1979-05-02,1979,5,2,-2.4001586
1979-05-03,1979,5,3,-6.0635805
1979-05-04,1979,5,4,-4.6494817
1979-05-05,1979,5,5,-2.4197207
1979-05-06,1979,5,6,-2.7103251
1979-05-07,1979,5,7,-4.0636214
1979-05-08,1979,5,8,-3.1306758
1979-05-09,1979,5,9,-2.1838272
1979-05-10,1979,5,10,-1.4282162
