"date","year","month","day","5405001"
1979-01-01,1979,1,1,5.27455751290323
1979-02-01,1979,2,1,3.86300486785714
1979-03-01,1979,3,1,3.58304916129032
1979-04-01,1979,4,1,0.368287547533333
1979-05-01,1979,5,1,-2.47847234096774
1979-06-01,1979,6,1,-4.62745218103333
1979-07-01,1979,7,1,-4.03519264870968
1979-08-01,1979,8,1,-3.82523731129032
1979-09-01,1979,9,1,-6.16126191666667
1979-10-01,1979,10,1,-1.97178705806452
1979-11-01,1979,11,1,0.946920459833333
1979-12-01,1979,12,1,3.28394875451613
1980-01-01,1980,1,1,4.39500653225806
1980-02-01,1980,2,1,3.44719367931034
1980-03-01,1980,3,1,5.80480316451613
1980-04-01,1980,4,1,-0.477943047033333
1980-05-01,1980,5,1,-2.34971972645161
1980-06-01,1980,6,1,-4.256539937
1980-07-01,1980,7,1,-6.25333993225806
1980-08-01,1980,8,1,-5.7577563086129
1980-09-01,1980,9,1,-4.00295148566667
1980-10-01,1980,10,1,-2.36437156935484
1980-11-01,1980,11,1,-0.387066706233333
1980-12-01,1980,12,1,2.98378199590323
1981-01-01,1981,1,1,2.98136626870968
1981-02-01,1981,2,1,5.20977633785714
1981-03-01,1981,3,1,3.8610998516129
1981-04-01,1981,4,1,1.0501849812
1981-05-01,1981,5,1,-2.04753377996774
1981-06-01,1981,6,1,-5.02541072
1981-07-01,1981,7,1,-6.04644057741935
1981-08-01,1981,8,1,-4.88889460645161
1981-09-01,1981,9,1,-4.48951353933333
1981-10-01,1981,10,1,-2.93427376032258
1981-11-01,1981,11,1,0.854072085
1981-12-01,1981,12,1,3.58926285
1982-01-01,1982,1,1,4.62849683548387
1982-02-01,1982,2,1,3.96378789035714
1982-03-01,1982,3,1,2.65645257354839
1982-04-01,1982,4,1,2.12637189533333
1982-05-01,1982,5,1,-2.19149665793548
1982-06-01,1982,6,1,-4.35006098266667
1982-07-01,1982,7,1,-4.89701445483871
1982-08-01,1982,8,1,-2.86305780887097
1982-09-01,1982,9,1,-2.29470403886667
1982-10-01,1982,10,1,-3.05677559612903
1982-11-01,1982,11,1,-0.346362211733333
1982-12-01,1982,12,1,3.8915420716129
1983-01-01,1983,1,1,4.08781551290323
1983-02-01,1983,2,1,4.22417798892857
1983-03-01,1983,3,1,3.89436271032258
1983-04-01,1983,4,1,0.1547763441
1983-05-01,1983,5,1,-4.88026018870968
1983-06-01,1983,6,1,-7.22558407413333
1983-07-01,1983,7,1,-7.58553687419355
1983-08-01,1983,8,1,-6.40229902903226
1983-09-01,1983,9,1,-7.45749578
1983-10-01,1983,10,1,-1.06747756358065
1983-11-01,1983,11,1,2.02723666616667
1983-12-01,1983,12,1,5.11228997419355
1984-01-01,1984,1,1,5.09596142580645
1984-02-01,1984,2,1,4.92720483103448
1984-03-01,1984,3,1,3.79236928548387
1984-04-01,1984,4,1,0.187886344
1984-05-01,1984,5,1,-4.41820174483871
1984-06-01,1984,6,1,-6.7537848
1984-07-01,1984,7,1,-5.32555099032258
1984-08-01,1984,8,1,-7.94867693548387
1984-09-01,1984,9,1,-4.657679952
1984-10-01,1984,10,1,-1.51194282424839
1984-11-01,1984,11,1,0.594284302866667
1984-12-01,1984,12,1,2.53981597903226
1985-01-01,1985,1,1,3.90074569580645
1985-02-01,1985,2,1,4.67717518392857
1985-03-01,1985,3,1,3.77628297645161
1985-04-01,1985,4,1,0.1040052244
1985-05-01,1985,5,1,-2.09454951645161
1985-06-01,1985,6,1,-2.6801713579
1985-07-01,1985,7,1,-6.60714198387097
1985-08-01,1985,8,1,-6.79108505483871
1985-09-01,1985,9,1,-4.493916682
1985-10-01,1985,10,1,-2.10567676612903
1985-11-01,1985,11,1,1.49468020599667
1985-12-01,1985,12,1,4.1812007483871
1986-01-01,1986,1,1,4.85100187870968
1986-02-01,1986,2,1,4.65552694142857
1986-03-01,1986,3,1,3.61182795806452
1986-04-01,1986,4,1,0.752278703863333
1986-05-01,1986,5,1,-2.46679224193548
1986-06-01,1986,6,1,-3.88507709266667
1986-07-01,1986,7,1,-2.96914678741935
1986-08-01,1986,8,1,-4.33454692580645
1986-09-01,1986,9,1,-4.027776976
1986-10-01,1986,10,1,-1.251879269
1986-11-01,1986,11,1,0.3630023332
1986-12-01,1986,12,1,4.64997500645161
1987-01-01,1987,1,1,4.84745718064516
1987-02-01,1987,2,1,5.66139716785714
1987-03-01,1987,3,1,4.90522957322581
1987-04-01,1987,4,1,1.16203704166667
1987-05-01,1987,5,1,-5.32700339677419
1987-06-01,1987,6,1,-3.30224077433333
1987-07-01,1987,7,1,-6.2205528
1987-08-01,1987,8,1,-5.67321291487097
1987-09-01,1987,9,1,-4.91603780266667
1987-10-01,1987,10,1,-2.5510205696129
1987-11-01,1987,11,1,1.23031181084667
1987-12-01,1987,12,1,2.93238506419355
1988-01-01,1988,1,1,3.48745867
1988-02-01,1988,2,1,4.2507259137931
1988-03-01,1988,3,1,5.00803896451613
1988-04-01,1988,4,1,1.42376453266667
1988-05-01,1988,5,1,-2.954919741
1988-06-01,1988,6,1,-5.00237542333333
1988-07-01,1988,7,1,-6.34421594612903
1988-08-01,1988,8,1,-6.65661929354839
1988-09-01,1988,9,1,-6.45363882
1988-10-01,1988,10,1,-2.45625355372581
1988-11-01,1988,11,1,1.77000106333333
1988-12-01,1988,12,1,3.94342811064516
1989-01-01,1989,1,1,5.24641169032258
1989-02-01,1989,2,1,6.09161837142857
1989-03-01,1989,3,1,3.53042382516129
1989-04-01,1989,4,1,1.85553977666667
1989-05-01,1989,5,1,-2.7073343216129
1989-06-01,1989,6,1,-3.4938817
1989-07-01,1989,7,1,-6.14991986129032
1989-08-01,1989,8,1,-5.38078776451613
1989-09-01,1989,9,1,-5.33260126333333
1989-10-01,1989,10,1,-1.39999711064516
1989-11-01,1989,11,1,2.00519406416667
1989-12-01,1989,12,1,4.1518421683871
1990-01-01,1990,1,1,4.77065919967742
1990-02-01,1990,2,1,4.57194122857143
1990-03-01,1990,3,1,2.88412416519355
1990-04-01,1990,4,1,-0.635373935333333
1990-05-01,1990,5,1,-2.95474825806452
1990-06-01,1990,6,1,-3.26149856233333
1990-07-01,1990,7,1,-6.45342426806452
1990-08-01,1990,8,1,-3.70873853935484
1990-09-01,1990,9,1,-4.52731313666667
1990-10-01,1990,10,1,-1.66118370176452
1990-11-01,1990,11,1,1.85782861368
1990-12-01,1990,12,1,4.54273623654839
1991-01-01,1991,1,1,4.20679978032258
1991-02-01,1991,2,1,4.78767445357143
1991-03-01,1991,3,1,4.71056480322581
1991-04-01,1991,4,1,0.7806919626
1991-05-01,1991,5,1,-1.61401877690323
1991-06-01,1991,6,1,-4.76709014533333
1991-07-01,1991,7,1,-5.83763732225806
1991-08-01,1991,8,1,-5.87842421129032
1991-09-01,1991,9,1,-2.46860625963333
1991-10-01,1991,10,1,-3.12763399341935
1991-11-01,1991,11,1,1.25972825533333
1991-12-01,1991,12,1,2.64651730870968
1992-01-01,1992,1,1,5.54435521290323
1992-02-01,1992,2,1,4.25073662172414
1992-03-01,1992,3,1,4.58403755967742
1992-04-01,1992,4,1,-0.716879827
1992-05-01,1992,5,1,-4.12273974064516
1992-06-01,1992,6,1,-4.80800081766667
1992-07-01,1992,7,1,-6.70952149354839
1992-08-01,1992,8,1,-6.03178957419355
1992-09-01,1992,9,1,-4.16186830766667
1992-10-01,1992,10,1,-1.72403232029032
1992-11-01,1992,11,1,1.0840657334
1992-12-01,1992,12,1,3.16022902806452
1993-01-01,1993,1,1,5.52807076774194
1993-02-01,1993,2,1,5.17037710357143
1993-03-01,1993,3,1,4.96409080967742
1993-04-01,1993,4,1,0.68308340418
1993-05-01,1993,5,1,-4.32348793741935
1993-06-01,1993,6,1,-3.359490455
1993-07-01,1993,7,1,-6.08393874322581
1993-08-01,1993,8,1,-4.36357215806452
1993-09-01,1993,9,1,-5.61545432866667
1993-10-01,1993,10,1,-1.49745883193548
1993-11-01,1993,11,1,0.410026573
1993-12-01,1993,12,1,3.95673336741935
1994-01-01,1994,1,1,5.34870146451613
1994-02-01,1994,2,1,4.02853828571429
1994-03-01,1994,3,1,4.95332808064516
1994-04-01,1994,4,1,1.14679987733333
1994-05-01,1994,5,1,-2.2230225766129
1994-06-01,1994,6,1,-4.21069833166667
1994-07-01,1994,7,1,-6.79051463645161
1994-08-01,1994,8,1,-4.94493963645161
1994-09-01,1994,9,1,-1.58001420323333
1994-10-01,1994,10,1,-2.662215618
1994-11-01,1994,11,1,0.9686698657
1994-12-01,1994,12,1,5.50529975354839
1995-01-01,1995,1,1,4.91834813225806
1995-02-01,1995,2,1,3.57244792142857
1995-03-01,1995,3,1,3.53927950451613
1995-04-01,1995,4,1,1.60845585523333
1995-05-01,1995,5,1,-1.32850980429032
1995-06-01,1995,6,1,-3.88391422692743
1995-07-01,1995,7,1,-8.14509570967742
1995-08-01,1995,8,1,-7.50861083483871
1995-09-01,1995,9,1,-3.88035292196667
1995-10-01,1995,10,1,-2.80907540677419
1995-11-01,1995,11,1,1.48560220456667
1995-12-01,1995,12,1,5.26171571032258
1996-01-01,1996,1,1,3.32138213870968
1996-02-01,1996,2,1,4.00244758655172
1996-03-01,1996,3,1,4.02705821193548
1996-04-01,1996,4,1,-0.38643153372
1996-05-01,1996,5,1,-1.40524755090323
1996-06-01,1996,6,1,-5.21836284
1996-07-01,1996,7,1,-5.67955188387097
1996-08-01,1996,8,1,-6.18664852580645
1996-09-01,1996,9,1,-4.08316275666667
1996-10-01,1996,10,1,-2.11545480290323
1996-11-01,1996,11,1,2.34090497266667
1996-12-01,1996,12,1,3.1695530176129
1997-01-01,1997,1,1,5.16152917419355
1997-02-01,1997,2,1,4.92403306785714
1997-03-01,1997,3,1,4.70604057967742
1997-04-01,1997,4,1,2.6768674767
1997-05-01,1997,5,1,-0.825012698709677
1997-06-01,1997,6,1,-5.952536916
1997-07-01,1997,7,1,-4.59446218696774
1997-08-01,1997,8,1,-4.85532071059323
1997-09-01,1997,9,1,-3.61204030133333
1997-10-01,1997,10,1,-4.60584240322581
1997-11-01,1997,11,1,-0.0923002664
1997-12-01,1997,12,1,3.01584131774194
1998-01-01,1998,1,1,5.82358965483871
1998-02-01,1998,2,1,4.39175159642857
1998-03-01,1998,3,1,3.37046042225806
1998-04-01,1998,4,1,-0.835256971833333
1998-05-01,1998,5,1,-3.14863408548387
1998-06-01,1998,6,1,-4.95671881133333
1998-07-01,1998,7,1,-5.09348748064516
1998-08-01,1998,8,1,-5.45960456129032
1998-09-01,1998,9,1,-5.23500774
1998-10-01,1998,10,1,-0.599964906203226
1998-11-01,1998,11,1,1.22583734033333
