date,Tmax,Tmin,Tair
1979-01-01,10.870149,2.8429366,6.8565428
1979-01-02,13.042206,3.0766108,8.0594084
1979-01-03,14.780761,4.4850967,9.63292885
1979-01-04,15.689641,5.2520797,10.47086035
1979-01-05,15.578084,6.2934691,10.93577655
1979-01-06,14.899651,6.7158728,10.8077619
1979-01-07,14.921321,6.7481662,10.8347436
1979-01-08,14.530536,6.4148693,10.47270265
1979-01-09,14.917887,5.8577217,10.38780435
1979-01-10,14.254867,5.1625011,9.70868405
1979-01-11,12.825575,4.6938542,8.7597146
1979-01-12,9.5191147,2.8015329,6.1603238
1979-01-13,12.302005,2.6739627,7.48798385
1979-01-14,13.94745,3.8424129,8.89493145
1979-01-15,13.685851,4.649768,9.1678095
1979-01-16,14.292156,4.595073,9.4436145
1979-01-17,15.783581,5.7387843,10.76118265
1979-01-18,15.397702,7.5228215,11.46026175
1979-01-19,13.855209,6.6656916,10.2604503
1979-01-20,14.871589,5.8372909,10.35443995
1979-01-21,14.722012,6.1910487,10.45653035
1979-01-22,13.595858,5.4646284,9.5302432
1979-01-23,12.483439,4.568815,8.526127
1979-01-24,13.538292,4.1263372,8.8323146
1979-01-25,14.306776,5.2609141,9.78384505
1979-01-26,14.077569,6.1070243,10.09229665
1979-01-27,14.302855,5.3345916,9.8187233
1979-01-28,14.79565,6.0871426,10.4413963
1979-01-29,14.535228,6.6915616,10.6133948
1979-01-30,12.26311,6.9750624,9.6190862
1979-01-31,11.740319,4.833641,8.28698
1979-02-01,12.500869,4.1311057,8.31598735
1979-02-02,12.035186,5.4172031,8.72619455
1979-02-03,11.678082,4.7725417,8.22531185
1979-02-04,10.61151,3.170933,6.8912215
1979-02-05,11.476781,3.9670777,7.72192935
1979-02-06,10.208607,2.2656531,6.23713005
1979-02-07,9.7995485,3.905073,6.85231075
1979-02-08,7.7533261,3.4772971,5.6153116
1979-02-09,8.758704,1.2516981,5.00520105
1979-02-10,11.794418,2.6125193,7.20346865
1979-02-11,11.139429,3.6878256,7.4136273
1979-02-12,11.437201,2.433887,6.935544
1979-02-13,10.37595,2.6982211,6.53708555
1979-02-14,7.9470996,2.4087447,5.17792215
1979-02-15,9.6372079,1.7142432,5.67572555
1979-02-16,11.084602,2.6736322,6.8791171
1979-02-17,11.21991,3.4042202,7.3120651
1979-02-18,12.121338,3.6508113,7.88607465
1979-02-19,10.229264,3.4595151,6.84438955
1979-02-20,14.395083,4.1600962,9.2775896
1979-02-21,17.883771,6.7956982,12.3397346
1979-02-22,15.933093,7.8530245,11.89305875
1979-02-23,12.759861,7.5618166,10.1608388
1979-02-24,11.525041,5.8113796,8.6682103
1979-02-25,12.713402,3.3026111,8.00800655
1979-02-26,12.44531,4.2713079,8.35830895
1979-02-27,11.708611,2.7277181,7.21816455
1979-02-28,13.3234,4.5782819,8.95084095
1979-03-01,13.297906,6.246815,9.7723605
1979-03-02,10.276599,4.2864676,7.2815333
1979-03-03,11.805286,3.4456919,7.62548895
1979-03-04,9.8721251,3.3572574,6.61469125
1979-03-05,12.270798,3.2085036,7.7396508
1979-03-06,10.659084,3.4348607,7.04697235
1979-03-07,12.138185,2.9473189,7.54275195
1979-03-08,8.9293078,1.962595,5.4459514
1979-03-09,11.098658,2.3409341,6.71979605
1979-03-10,10.694797,2.7382323,6.71651465
1979-03-11,9.2787138,3.343433,6.3110734
1979-03-12,7.3880595,2.4401354,4.91409745
1979-03-13,11.48263,1.2431112,6.3628706
1979-03-14,12.799387,3.3374976,8.0684423
1979-03-15,12.629794,3.7613646,8.1955793
1979-03-16,13.270868,4.5464864,8.9086772
1979-03-17,13.563024,4.9961983,9.27961115
1979-03-18,13.318427,5.2221591,9.27029305
1979-03-19,14.079019,5.5986324,9.8388257
1979-03-20,15.275693,5.8437112,10.5597021
1979-03-21,12.449038,5.0594516,8.7542448
1979-03-22,9.7831905,2.8062878,6.29473915
1979-03-23,12.460005,4.3975675,8.42878625
1979-03-24,12.854495,3.4743744,8.1644347
1979-03-25,10.290828,3.8042124,7.0475202
1979-03-26,8.5653448,2.2174469,5.39139585
1979-03-27,8.6568142,1.232882,4.9448481
1979-03-28,10.794053,1.9711552,6.3826041
1979-03-29,11.991244,3.3494327,7.67033835
1979-03-30,11.34529,4.4744611,7.90987555
1979-03-31,14.649185,3.9858467,9.31751585
1979-04-01,10.71064,2.3461124,6.5283762
1979-04-02,7.5574467,1.8006261,4.6790364
1979-04-03,2.5569296,-0.71072169,0.923103955
1979-04-04,-0.71433114,-4.33601,-2.52517057
1979-04-05,5.805351,-6.7848464,-0.4897477
1979-04-06,10.032498,-2.3148554,3.8588213
1979-04-07,10.851697,1.0726777,5.96218735
1979-04-08,8.2709414,1.9854981,5.12821975
1979-04-09,9.640737,0.38642398,5.01358049
1979-04-10,11.75158,1.9880281,6.86980405
1979-04-11,10.646178,2.8133895,6.72978375
1979-04-12,7.5699405,1.1091448,4.33954265
1979-04-13,7.6297693,0.4834283,4.0565988
1979-04-14,9.0694077,-0.049078244,4.510164728
1979-04-15,12.489819,0.92615239,6.707985695
1979-04-16,11.127429,1.837091,6.48226
1979-04-17,11.360081,2.8663119,7.11319645
1979-04-18,9.7130007,2.7110277,6.2120142
1979-04-19,10.828186,2.112514,6.47035
1979-04-20,10.971088,2.2812127,6.62615035
1979-04-21,10.041827,2.182278,6.1120525
1979-04-22,10.556711,2.2349234,6.3958172
1979-04-23,10.776173,1.6607252,6.2184491
1979-04-24,9.3692302,2.6515522,6.0103912
1979-04-25,8.7946838,2.1462498,5.4704668
1979-04-26,9.9297226,0.84025059,5.384986595
1979-04-27,6.7070218,1.0084894,3.8577556
1979-04-28,0.76769385,-3.8924406,-1.562373375
1979-04-29,3.2549355,-7.4850717,-2.1150681
1979-04-30,5.6635188,-2.8224568,1.420531
1979-05-01,6.4527112,0.246573,3.3496421
1979-05-02,2.1729042,-2.4001586,-0.1136272
1979-05-03,0.72538732,-6.0635805,-2.66909659
1979-05-04,5.240449,-4.6494817,0.29548365
1979-05-05,3.5014927,-2.4197207,0.540886
1979-05-06,4.1600597,-2.7103251,0.7248673
1979-05-07,4.8680109,-4.0636214,0.40219475
1979-05-08,2.8724406,-3.1306758,-0.1291176
